account_id,account_name,segment,industry,region,employee_count
A0565,Account 0565,Mid-Market,Manufacturing,Central,834
A0566,Account 0566,SMB,Retail,West,147
A0567,Account 0567,Mid-Market,Financial Services,Central,1095
A0568,Account 0568,Enterprise,Retail,West,30474
A0569,Account 0569,SMB,Healthcare,Central,180
A0570,Account 0570,Mid-Market,Financial Services,West,481
A0571,Account 0571,SMB,Energy,Central,143
A0572,Account 0572,SMB,Education,West,78
A0573,Account 0573,Mid-Market,Healthcare,Central,757
A0574,Account 0574,SMB,Financial Services,Central,126
A0575,Account 0575,SMB,Manufacturing,Central,50
A0576,Account 0576,Enterprise,Financial Services,West,2168
A0577,Account 0577,SMB,Healthcare,West,21
A0578,Account 0578,SMB,Manufacturing,West,19
A0579,Account 0579,Mid-Market,Logistics,West,708
A0580,Account 0580,Enterprise,Education,Central,26432
A0581,Account 0581,SMB,Healthcare,West,67
A0582,Account 0582,Enterprise,Logistics,West,20501
A0583,Account 0583,Mid-Market,Technology,Central,1332
A0584,Account 0584,SMB,Retail,Central,154
A0585,Account 0585,Mid-Market,Retail,Central,1411
A0586,Account 0586,Enterprise,Retail,East,18064
A0587,Account 0587,SMB,Logistics,West,69
A0588,Account 0588,Mid-Market,Healthcare,Central,1754
A0589,Account 0589,SMB,Technology,West,62
A0590,Account 0590,SMB,Healthcare,West,192
A0591,Account 0591,SMB,Retail,East,115
A0592,Account 0592,SMB,Financial Services,East,34
A0593,Account 0593,Mid-Market,Logistics,West,1362
A0594,Account 0594,SMB,Manufacturing,West,84
A0595,Account 0595,Enterprise,Logistics,East,22844
A0596,Account 0596,SMB,Retail,West,61
A0597,Account 0597,SMB,Financial Services,West,125
A0598,Account 0598,SMB,Education,West,125
A0599,Account 0599,SMB,Financial Services,West,50
A0600,Account 0600,SMB,Healthcare,West,93
